t,x,xdot
25.9,-1.85804,0.722852
26,-1.79429,0.79924
26.1,-1.72433,0.870724
26.2,-1.64846,0.939834
26.3,-1.56679,1.00869
26.4,-1.47923,1.07913
26.5,-1.38557,1.15278
26.6,-1.28544,1.23116
26.7,-1.17837,1.31567
26.8,-1.06373,1.40765
26.9,-0.940797,1.50825
27,-0.808763,1.6184
27.1,-0.666743,1.73851
27.2,-0.513865,1.86818
27.3,-0.34937,2.00561
27.4,-0.172796,2.14691
27.5,0.0157628,2.28517
27.6,0.215311,2.40978
27.7,0.42358,2.50606
27.8,0.636752,2.55634
27.9,0.849473,2.54277
28,1.05532,2.45193
28.1,1.24772,2.27982
28.2,1.42094,2.03463
28.3,1.57089,1.73546
28.4,1.69535,1.40748
28.5,1.79383,1.07573
28.6,1.86717,0.760333
28.7,1.91712,0.474306
28.8,1.94602,0.223717
28.9,1.95643,0.00922783
29,1.95088,-0.171978
29.1,1.93168,-0.324507
29.2,1.90087,-0.453544
29.3,1.86009,-0.56412
29.4,1.81068,-0.66076
29.5,1.75362,-0.747359
29.6,1.68963,-0.827208
29.7,1.6192,-0.903071
29.8,1.5426,-0.97729
29.9,1.45991,-1.05189
30,1.37107,-1.12866
30.1,1.2759,-1.20922
30.2,1.17407,-1.29507
30.3,1.06513,-1.38759
30.4,0.948565,-1.48801
30.5,0.823727,-1.59732
30.6,0.689918,-1.71609
30.7,0.546396,-1.84421
30.8,0.39243,-1.98045
30.9,0.227378,-2.12184
31,0.050808,-2.26296
31.1,-0.137334,-2.3951
31.2,-0.33648,-2.50572
31.3,-0.545133,-2.57851
31.4,-0.760485,-2.59493
31.5,-0.978074,-2.53745
31.6,-1.19163,-2.39462
31.7,-1.39343,-2.16633
31.8,-1.57532,-1.86651
31.9,-1.73037,-1.52115
32,-1.85426,-1.16141
32.1,-1.94602,-0.815409
32.2,-2.00748,-0.502529
32.3,-2.04225,-0.232029
32.4,-2.05456,-0.00500165
32.5,-2.04844,0.182505
32.6,-2.02738,0.336738
32.7,-1.99415,0.464409
32.8,-1.9509,0.571731
32.9,-1.8992,0.664039
33,-1.84017,0.745739
